,Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,class_code,class_desc
28822,,8289822,New Riviera Hotel Dev. Corp.,,,167,Dolores,St,,,Metro Manila,,
28823,,7089851,New Riviera Hotel Dev. Corp.,,,3001,Roxas,Bvd,,PC,Metro Manila,,
28824,,7089852,New Riviera Hotel Dev. Corp.,,,3001,Pres M a Roxas,Bvd,,PC,Metro Manila,,
28825,,5258626,New Riviera Hotel Dev. Corp.,,Traders Hotel Manila,3001,Roxas,Bvd,,PC,Metro Manila,,
28826,,7089856,New Riviera Hotel Dev. Corp.,,Traders Hotel,3001,Pres M a Roxas,Bvd,,PC,Metro Manila,,
28827,,5223550/5217736,New Riviera Hotel Developmentcooperative Incorporation,,Holiday Inn Manila,,United Nations,Ave,,Manila City,Metro Manila,,
28829,,3732639,"New San Jose Builders, Inc.",,Victoria Towers Condominium,,Timog,Ave,,,Metro Manila,,
28830,,8864941/3648051,"New San Jose Builders, Inc.",,Victoria de Makati,,Washington,St,,Makati City,Metro Manila,,
28832,,3648053,"New San Jose Builders, Inc.",,,,,,,Or Call:,,,
28833,,3511498/3732637,"New San Jose Builders, Inc.",,Il Terrazo Building,,Tomas Morato,Ave,,QC,Metro Manila,,
28835,,3733563/3732638,"New San Jose Builders, Inc.",,,,,,,Or Call:,,,
28837,,8864937/3511500,"New San Jose Builders, Inc.",,,,,,,,,,
28839,,3510017,"New San Jose Builders, Inc.",,,,,,,,,,
28840,,8872759/8882764,New Simulator Center of the Phils Inc,,Newsim Building,2323,Marconi,St,,Makati City,Metro Manila,,
28842,,8882794,New Simulator Center of the Phils Inc,,,,,,,Or Call:,,,
28843,,8432864/8882773,New Simulator Center of the Phils Inc,,Alscophil Building,2053,Edison,St,,Makati City,Metro Manila,,
28845,,9368529/9368147,New Speed Master Lumber,,,2,East Berkely,St,California Village,,Metro Manila,,
28847,,8505587,New Speedy Studio,,ESTRELLITA BUILDING 1,236,Montillano,St,,,Metro Manila,,
28848,,5310890,New Topbest Lumber Construction Supply Inc,,,286,Edsa,Ave,,Mandaluyong City,Metro Manila,,
28849,,5310889/5310891,New Topbest Lumber Construction Supply Inc,,,282,E Dela Paz,St,,Mandaluyong City,Metro Manila,,
28851,,7210276,New Tribes Mission,,,333,Shaw,Bvd,,,Metro Manila,,
28852,,3669946,"New World Diagnostics, Inc.",,,188,Gen Luis,St,,QC,Metro Manila,,
28853,,9414880,New World Hardware,,,11,Bayan-Bayanan,Ave,,Marikina City,Metro Manila,,
28854,,8116894/8116891,New World International Development Philippines Inc.,,Pradel Philcom Building,8755,Paseo de Roxas,Ave,Salcedo Village,Makati City,Metro Manila,,
28856,,8116892/8116890,New World International Development Philippines Inc.,,,,,,,Or Call:,,,
28858,,8116889,New World International Development Philippines Inc.,,,,,,,,,,
28859,,8116888/8116893,New World International Development Philippines Inc.,,New World Renaissance,,Esperanza,St,Ayala Center,Makati City,Metro Manila,,
28861,,8884564/8116914,New World International Development Philippines Inc.,,,,,,,Or Call:,,,
28863,,8884562/8116903,New World International Development Philippines Inc.,,,,,,,,,,
28865,,8884563/8116904,New World International Development Philippines Inc.,,,,,,,,,,
28867,,8116905/8116906,New World International Development Philippines Inc.,,,,,,,,,,
28869,,8116907/8116909,New World International Development Philippines Inc.,,,,,,,,,,
28871,,8116910/8116911,New World International Development Philippines Inc.,,,,,,,,,,
28873,,8884560/8116902,New World International Development Philippines Inc.,,,,,,,,,,
28875,,8116898/8116897,New World International Development Philippines Inc.,,,,,,,,,,
28877,,8116912/8116913,New World International Development Philippines Inc.,,,,,,,,,,
28879,,8116896/8116895,New World International Development Philippines Inc.,,,,,,,,,,
28881,,8116901/8116908,New World International Development Philippines Inc.,,,,,,,,,,
28883,,2410040,New World Properties & Ventures Inc,,World Trade Exchange Building,215,Juan Luna,St,,,Metro Manila,,
28884,,6388414/6388412,New York Bay Philippines,,Antel Global Corporate Center,,Dna Julia Vargas,Ave,Ortigas Center,Pasig City,Metro Manila,,
28886,,6388413/6388416,New York Bay Philippines,,,,,,,Or Call:,,,
