Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,Product,class_code
33,3354693,Edge Interlinks Corporation,,Sm City Iloilo Expansion Wing,,B S Aquino,Ave,,Mandurriao,Iloilo,ILOCAP2016_ILOILOWP,
2,4210527,Edge Interlinks Corporation,,Gateway Mall,,Aurora,Bvd,Araneta Commercial Center,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,8865326/6870296,Edge Interlinks Corporation,,Alabang Town Center,,Alabang-Zapote,Rd,,Munt,Metro Manila,MLABUS2016_MLABUSWP,
2,8564582,Edge Interlinks Corporation,,Market Market,,McKinley Parkway,Ave,Bonifacio Global City,Taguig City,Metro Manila,MLABUS2016_MLABUSWP,
32,3492403,Edge Interlinks Corporation,,Pueblo Verde Building,,Basak,St,,Lapu-Lapu City,Cebu,CEBU2016_CEBUWP,
2,8357012/2414502,Edge Interlinks Corporation,,Metropoint Taft-Edsa,,Taft,Ave,,PC,Metro Manila,MLABUS2016_MLABUSWP,
2,6388920,"Egis Projects Philippines, Inc.",,City State Center Building,709,Shaw,Bvd,Capitol Commons,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,2545973,"Electroworld, Inc.",,Lucky Chinatown Mall,,Reina Regente,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,8874122/5190103,Elite Group Management Services Incorporated,,Gaston Building,30,J Elizalde,St,Bf Homes Subdivision Phase 1,Paranaque City,Metro Manila,MLABUS2016_MLABUSWP,
2,7798647/7798674,Elite Group Management Services Incorporated,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,5516438,Elro Commercial & Industrial Corporation,,,,Edison,Ave,Rudolf Leitz Compound,Paranaque City,Metro Manila,MLABUS2016_MLABUSWP,
2,5849307,Elro Commercial & Industrial Corporation,,Sm City Marikina Branch,,Marcos,Hwy,,Mkna,Metro Manila,MLABUS2016_MLABUSWP,
2,7764449,Elro Commercial & Industrial Corporation,,New Solid Building,357,Sen Gil Puyat,Ave,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,6316241,Elro Commercial & Industrial Corporation,,Robinsons Galleria Mall,,Edsa,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,8512342/8516666,Embassy of the State of Qatar,,,,Santiago,St,Paseo de Magallanes Phase 1,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8512343/8335675,Embassy of the State of Qatar,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8451237/8152961,Embassy of the United States,,,,,,,,,MLABUS2016_MLABUSWP,
2,5527201/8282144,Embassy of the United States,,,,,,,,,MLABUS2016_MLABUSWP,
2,5210416/8153353,Embassy of the United States,,,,,,,,,MLABUS2016_MLABUSWP,
2,5166958/5210418,Embassy of the United States,,,,,,,,,MLABUS2016_MLABUSWP,
2,5210038/5210009,Embassy of the United States,,,,,,,,,MLABUS2016_MLABUSWP,
2,8041980/8450082,Embassy of the United States,,,,,,,,,MLABUS2016_MLABUSWP,
2,8230797,Embassy of the United States,,,,,,,,,MLABUS2016_MLABUSWP,
2,5510695/5518041,Embassy of the United States,,,40,Zodiac,St,Bel-Air 4 Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,7089728/4030821,Embassy of the United States,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,5516430,Embassy of the United States,,,,,,,,,MLABUS2016_MLABUSWP,
2,6546768/5515078,Embassy of the United States,,Pnp Headquarters,,Edsa,Ave,Camp Crame,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,5165093,Embassy of the United States,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8900902/8042448,Embassy of the United States,,,123,Neptune,St,Bel-Air 2 Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8238207,Embassy of the United States,,,2150,Paraiso,St,Dasmarinas Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8433989,Emerson Electric (Asia) Limited,,Pacific Plaza South Tower,,4th,Ave,Bonifacio Global City,Taguig City,Metro Manila,MLABUS2016_MLABUSWP,
2,2947657,Emilio S. Lim Appliances,,,848,Quirino,Hwy,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,5345419,Emilio S. Lim Appliances,,,878,Gen Kalentong,St,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,8932459,Emilio S. Lim Appliances,,Act Tower,135,Sen Gil Puyat,Ave,Salcedo Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8871483,Emilio S. Lim Appliances,,,497,Quirino,Ave,,Paranaque City,Metro Manila,MLABUS2016_MLABUSWP,
2,2923050,Emilio S. Lim Appliances,,,,Zabarte,Rd,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,5318445/3642577,Emilio S. Lim Appliances,,,3192,New Panaderos,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,5318432/8932457,Emilio S. Lim Appliances,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8940017/8940019,Emilio S. Lim Appliances,,,,,,,,,MLABUS2016_MLABUSWP,
2,2943961,Emilio S. Lim Appliances  Branch 1,,,261,Gen D Mc Arthur,Hwy,,Valenzuela City,Metro Manila,MLABUS2016_MLABUSWP,
