,Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,class_code,class_desc
0,,8967916,(Department of Trade and Industrybsmbd),,Dti Building,361,Sen Gil Puyat,Ave,,Makati City,Metro Manila,,
1,,8975554,(Department of Trade and Industrycic),,Dti Building,361,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
2,,8908907,(Department of Trade and Industryipr),,Dti Building,361,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
3,,8904951,(Department of Trade and Industryoop),,Industry & Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
4,,8971719,(Department of Trade and Industryticci),,Lc Building,375,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
5,,8904857,(Dept of Trade & Industryhrds),,Dti Building,,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
6,,8905123,(Dept of Trade & Industryofcof Special Concern),,Board of Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
7,,8959460,(Dept of Trade & Industryopr),,Dti Building,361,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
8,,8967889/8971243,(Dept of Trade & Industryopr),,Industry & Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
10,,8953995/8958133,(Dept of Trade & Industrypro),,Industry & Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,,Metro Manila,,
12,,8904517/8953558,(Dept of Trade & Industrypro),,,,,,,Or Call:,,,
14,,8904747,(Dept of Trade and Industryftsc),,New Solid Building,357,Sen Gil Puyat,Ave,Bel-Air Village,,Metro Manila,,
15,,8901302,(Dept of Trade and Industryncac),,Dti Building,,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
16,,3747268,(Rp) Dept of Budget and Department,,Ben-Lor Annex Building,1184,Quezon,Ave,,QC,Metro Manila,,
17,,7361230/7361234,(Rp) Dept of Budget and Department,,DBM BUILDING 1,755,Gen Solano,St,San Miguel Village,Manila City,Metro Manila,,
19,,7361284/7361285,(Rp) Dept of Budget and Department,,,,,,,Or Call:,,,
21,,3747270/3747269,(Rp) Dept of Budget and Department,,,,,,,,,,
23,,9261065,(Rp) Housing and Land Use Regulatory Board,,Sunnymede Building,1614,Quezon,Ave,,,Metro Manila,,
24,,6310960/6310951,(Rp) Neda,,8137 PLAZA,,St Josemaria Escriva,Drv,Ortigas Center,Pasig City,Metro Manila,,
26,,6310952/6310953,(Rp) Neda,,,,,,,Or Call:,,,
28,,6310954/6310955,(Rp) Neda,,,,,,,,,,
30,,6310956/6310957,(Rp) Neda,,,,,,,,,,
32,,6310958/6310959,(Rp) Neda,,,,,,,,,,
34,,6310961/6310962,(Rp) Neda,,,,,,,,,,
36,,6310963/6310964,(Rp) Neda,,,,,,,,,,
38,,6310965/6310966,(Rp) Neda,,,,,,,,,,
40,,6310967/6310968,(Rp) Neda,,,,,,,,,,
42,,6310950/6310949,(Rp) Neda,,,,,,,,,,
44,,6310948/6310946,(Rp) Neda,,,,,,,,,,
46,,6310945/6310947,(Rp) Neda,,,,,,,,,,
48,,5278327/5270151,(Rp) Philippine Postal Corporationmain,,Bureau of Post Building,,Liwasang Bonifacio,St,,,Metro Manila,,
50,,5279601/5270133,(Rp) Philippine Postal Corporationmain,,,,,,,Or Call:,,,
52,,5279604/5270108,(Rp) Philippine Postal Corporationmain,,,,,,,,,,
54,,5279607/5270103,(Rp) Philippine Postal Corporationmain,,,,,,,,,,
56,,5270082/5279611,(Rp) Philippine Postal Corporationmain,,,,,,,,,,
58,,5279615/5270051,(Rp) Philippine Postal Corporationmain,,,,,,,,,,
60,,7750680,(Rp) Philippine Postal Corporationmain,,Alabang Public Mkt,,National,Rd,,,Metro Manila,,
61,,5270034/5281603,(Rp) Philippine Postal Corporationmain,,,,Liwasang Bonifacio,St,,Manila City,Metro Manila,,
63,,5257028,(Rp) Philippine Postal Corporationmain,,Fsmdc Building,,2ND,St,,,Metro Manila,,
64,,8540888/5248771,(Rp) Philippine Postal Corporationmain,,Airmail Distribution Center,,Domestic,Rd,,PC,Metro Manila,,
66,,8541641/5270074,(Rp) Philippine Postal Corporationmain,,Administration Building,,Andrew,Ave,,,Metro Manila,,
68,,5278705,(Rp) Philippine Postal Corporationmain,,,,,,,Or Call:,,,
69,,2442610,(Rp) Philipppine Ports Authoritynorth Harbor,,,,Marcos,Rd,North Harbor,Manila City,Metro Manila,,
70,,2442614/2442611,(Rp) Philipppine Ports Authoritynorth Harbor,,Ppa Administration Building,,North Harbor,St,,Manila City,Metro Manila,,
72,,2442613,(Rp) Philipppine Ports Authoritynorth Harbor,,,,,,,Or Call:,,,
73,,2442634/2442633,(Rp) Philipppine Ports Authoritynorth Harbor,,Ppa Terminal Ofc,,Marcos,Rd,PIER 16,Manila City,Metro Manila,,
75,,2442617/2442612,(Rp) Philipppine Ports Authoritynorth Harbor,,,,,,,Or Call:,,,
77,,2442615,(Rp) Philipppine Ports Authoritynorth Harbor,,,,,,,,,,
78,,8376186/8376188,(Rp)dosttapi,,Science Community Complex,,Gen Santos,Ave,,Taguig City,Metro Manila,,
80,,8376189,(Rp)dosttapi,,,,,,,Or Call:,,,
81,,8381112,(Rp)dosttapi,,Dost Building,,Gen Santos,Ave,,Taguig City,Metro Manila,,
82,,8381170/8381140,(Rp)dosttapi,,,,Gen Santos,Ave,Dost Compound,Taguig City,Metro Manila,,
84,,8381127/8381115,(Rp)dosttapi,,Tapi Building,,Gen Santos,Ave,Dost Compound,,Metro Manila,,
86,,5275656,(Rp)immigration & Deportationcomm,,,,Magallanes,Drv,,,Metro Manila,,
87,,9263450,(Rp)lracomprehensive Agrarian Reform Prog,,Lra Building,,East,Ave,,QC,Metro Manila,,
88,,8433887,Administration Office,,Manhattan Square,162,Valero,St,Salcedo Village,Makati City,Metro Manila,,
89,,4263694/4263572,Advanced Science & Technology Institute,,Asti Building,,C P Garcia,Ave,,QC,Metro Manila,,
91,,4269764/4269760,Advanced Science & Technology Institute,,,,,,,Or Call:,,,
93,,4269755/4269759,Advanced Science & Technology Institute,,,,,,,,,,
95,,4267423,Advanced Science & Technology Institute,,,,,,,,,,
96,,9115952,Afp Cmo School Civil Relation Service,,,,P Santos,Ave,Camp Aguinaldo,QC,Metro Manila,,
97,,9134378,Afp Command General Staff College,,General Staff College Building,,Camp Aguinaldo,St,Camp Aguinaldo,QC,Metro Manila,,
98,,9133182/9125672,Afp Finance Center,,Afp Finance Center Building,,Edsa,Ave,Camp Aguinaldo,QC,Metro Manila,,
100,,4217683,Afp Finance Ctr Multipurpostcooperative,,Afp Headquarter Finance Center,,Crame,Ave,Camp Aguinaldo,,Metro Manila,,
101,,9116761,Afp Logistics Center,,,,Camp Aguinaldo,St,Camp Aguinaldo,QC,Metro Manila,,
102,,4411116,Afp Medical Ctr,,,135,V Luna,Ave,,QC,Metro Manila,,
103,,5271580,Afp Naval Reserve Command,,,,A Soriano Jr,Ave,,Manila City,Metro Manila,,
104,,9129606,Afp Provident Trust Fund,,,,Gen a T Enrile,Ave,Camp Aguinaldo,QC,Metro Manila,,
105,,8390112/8390113,Afp Rsbs Industrial Park,,,,East Service,Rd,,Taguig City,Metro Manila,,
107,,8390131/8390144,Afp Rsbs Industrial Park,,,,,,,Or Call:,,,
109,,5244322,Afpphilippine Navy,,,,M Adriatico,St,,,Metro Manila,,
110,,5245535,Afpphilippine Navy,,,,Pres M a Roxas,Bvd,,PC,Metro Manila,,
111,,5245785/5245898,Afpphilippine Navy,,,,Pres M a Roxas,Bvd,,Manila City,Metro Manila,,
113,,5244981,Afpphilippine Navy,,,,,,,Or Call:,,,
114,,8446759,Afpphilippine Navy,,,29,Ipil,St,Fort Bonifacio Naval St'n C,Makati City,Metro Manila,,
115,,8446726/8446744,Afpphilippine Navy,,,1,Jusmag,Rd,,Makati City,Metro Manila,,
117,,8446755,Afpphilippine Navy,,,13,Ilang-Ilang,St,Fort Bonifacio Naval St'n C,,Metro Manila,,
118,,5243617/5243452,Afpphilippine Navy,,Hpn Staff Building,,Pres M a Roxas,Bvd,,Manila City,Metro Manila,,
120,,5256326/5247703,Afpphilippine Navy,,,,Roxas,Bvd,,,Metro Manila,,
122,,5279562,Afpphilippine Navy,,BERTH 2,,Muelle de San Francisco,St,,,Metro Manila,,
123,,8446585,Afpphilippine Navy,,,,Conversion,St,,Makati City,Metro Manila,,
124,,5256267/5231907,Afpphilippine Navy,,Philippine Navy Headquarters,,Pres M a Roxas,Bvd,,Manila City,Metro Manila,,
126,,5222023,Afpphilippine Navy,,,,,,,Or Call:,,,
127,,8443227,Afpphilippine Navy,,,,Verify,St,,Makati City,Metro Manila,,
128,,8895468/5253601,Afpphilippine Navy,,Bonifacio Naval Station,,Yakal,St,Fort Bonifacio Naval St'n C,Makati City,Metro Manila,,
130,,5253487,Afpphilippine Navy,,,,,,,Or Call:,,,
131,,5232890/5233438,Afpphilippine Navy,,,348,Dasdasan,St,MIDTOWN SUBDIVISION PHASE 1,Marikina City,Metro Manila,,
133,,8441577/5233718,Afpphilippine Navy,,,,,,,Or Call:,,,
135,,5252717/5233898,Afpphilippine Navy,,Roxas Blvd Building,,Pres M a Roxas,Bvd,,,Metro Manila,,
137,,5235470/8892537,Afpphilippine Navy,,,,,,,Or Call:,,,
139,,8441945,Afpphilippine Navy,,,,,,,,,,
140,,8936741/5264016,Afpphilippine Navy,,PNOC BUILDING 4A,,Meritt,Rd,Bonifacio Global City,Taguig City,Metro Manila,,
142,,8438565/5232562,Afpphilippine Navy,,,,,,,Or Call:,,,
144,,5254987/5256068,Afpphilippine Navy,,,,,,,,,,
146,,5222776/5222769,Afpphilippine Navy,,,,,,,,,,
148,,8940133/8443665,Afpphilippine Navy,,,,,,,,,,
150,,8928261/5241525,Afpphilippine Navy,,,,Afp Oval Subd,St,,,Metro Manila,,
152,,5248507/8433618,Afpphilippine Navy,,,,,,,Or Call:,,,
154,,8940968/8873224,Afpphilippine Navy,,Southern Police District,,Lawton,Ave,,,Metro Manila,,
156,,4267737/9295022,Agrarian Reform Comm Devt Proj,,Fapso Building,,Elliptical,Rd,Dar Compound,,Metro Manila,,
158,,9268405/9268401,"Apo Production Unit, Inc.",,Pia Building,,Visayas,Ave,,,Metro Manila,,
160,,9276777/9270359,"Apo Production Unit, Inc.",,,,East,Ave,,,Metro Manila,,
162,,9276793/9276796,"Apo Production Unit, Inc.",,,,,,,Or Call:,,,
164,,9116023/9116022,Armed Forces of the Phil  Communications and Electronics,,,,Camp Aguinaldo,St,Camp Aguinaldo,,Metro Manila,,
166,,9116056,Armed Forces of the Philcommunications and Electronics,,,,Edsa,Ave,,,Metro Manila,,
167,,9116030/9116076,Armed Forces of the Philcommunications and Electronics,,,,Camp Aguinaldo,St,Camp Aguinaldo,QC,Metro Manila,,
169,,9116027/9117982,Armed Forces of the Philcommunications and Electronics,,,,,,,Or Call:,,,
171,,9116061/9116068,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
173,,9116053/9116028,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
175,,9116060/9116462,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
177,,9116046/9116035,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
179,,9116357/9116054,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
181,,9116052/9117959,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
183,,9116029/9116057,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
185,,9116062/9116067,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
187,,9116047/9116021,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
189,,9116065/9116031,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
191,,9116048/9116049,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
193,,9116050/9117804,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
195,,9117868/9116079,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
197,,9117902/9116026,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
199,,9116069/9116024,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
201,,9116034/9116025,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
203,,9116032/9116033,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
205,,9116051/9116055,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
207,,9116064/9116063,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
209,,9116077/9116078,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
211,,9116070/9116059,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
213,,9116058/9134396,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
215,,9120432,Armed Forces of the Philcommunications and Electronics,,,,,,,,,,
216,,9136496/9139375,Armed Forces of the Philippines,,,,Camp Aguinaldo,St,Camp Aguinaldo,QC,Metro Manila,,
218,,9121173,Armed Forces of the Philippines,,,,Col B Serrano,Ave,Camp Alejandro,,Metro Manila,,
219,,9117759,Armed Forces of the Philippines Commel,,,,Camp Aguinaldo,St,Camp Aguinaldo,QC,Metro Manila,,
220,,9118193/9116653,Armed Forces of the Philippines Commel,,,,Edsa,Ave,,QC,Metro Manila,,
222,,9120445/9117882,Armed Forces of the Philippines Commel,,,,,,,Or Call:,,,
224,,9118134/9116451,Armed Forces of the Philippines Commel,,Res of Chf of Staff,,Edsa,Ave,,,Metro Manila,,
226,,9116439/9118116,Armed Forces of the Philippines Commel,,,,,,,Or Call:,,,
228,,9117948/7219066,Armed Forces of the Philippines Commel,,,,,,,,,,
230,,9124779,Armed Forces of the Philippines Commel,,,,,,,,,,
231,,8534991,Armed Forces of the Philippines Golf Club,,,5932,S de Guzman,St,,Paranaque City,Metro Manila,,
232,,8534974,Armed Forces of the Philippines Golf Club,,Villamor Golf Club Bldg,,Villamor Air Base,St,Villamor Air Base,PC,Metro Manila,,
233,,9118138,Armed Forces of the Philippines Logistics Command,,,,Edsa,Ave,,QC,Metro Manila,,
234,,9136425/9136448,Armed Forces of the Philippines Logistics Command,,,,Camp Aguinaldo,St,Camp Aguinaldo,QC,Metro Manila,,
236,,9136465,Armed Forces of the Philippines Logistics Command,,,,,,,Or Call:,,,
237,,9116794/4210504,Armed Forces of the Philippines Logistics Command,,Afp Logistic Center,,Camp Aguinaldo,St,,QC,Metro Manila,,
239,,9124616,Armed Forces of the Philippines Logistics Command,,,,,,,Or Call:,,,
240,,9211741/4262707,Armed Forces of the Philippines Medical Center,,,,V Luna,Ave,,QC,Metro Manila,,
242,,4262708/4262709,Armed Forces of the Philippines Medical Center,,,,,,,Or Call:,,,
244,,4262710/9211756,Armed Forces of the Philippines Medical Center,,,,,,,,,,
246,,9211755/4262712,Armed Forces of the Philippines Medical Center,,,,,,,,,,
248,,4262713/4262714,Armed Forces of the Philippines Medical Center,,,,,,,,,,
250,,9211771,Armed Forces of the Philippines Medical Center,,,,Kamias,Rd,,,Metro Manila,,
251,,9258837/9230812,Armed Forces of the Philippines Medical Center,,Afp Medical Center Building,,V Luna,Ave,,QC,Metro Manila,,
253,,4262711/9211774,Armed Forces of the Philippines Medical Center,,,,,,,Or Call:,,,
255,,4262702/4262701,Armed Forces of the Philippines Medical Center,,,,,,,,,,
257,,4262706/4262703,Armed Forces of the Philippines Medical Center,,,,,,,,,,
259,,9264811/9264812,Armed Forces of the Philippines Medical Center,,,,,,,,,,
261,,4262705/4262704,Armed Forces of the Philippines Medical Center,,,,,,,,,,
263,,9126615,Armed Forces of the Philippines Office of Civil Relations,,,,Camp Aguinaldo,St,Camp Aguinaldo,,Metro Manila,,
264,,9118218,Armed Forces of the Philippines Rsbs,,,,Edsa,Ave,Camp Aguinaldo,QC,Metro Manila,,
265,,9117166/9112155,Armed Forces of the Philippines Rsbs,,,,Camp Aguinaldo,St,Camp Aguinaldo,QC,Metro Manila,,
267,,9121868,Armed Forces of the Philippines Rsbs,,,,,,,Or Call:,,,
268,,9114056/9118046,Armed Forces of the Philippinesmbai,,,,Col B Serrano,Ave,,QC,Metro Manila,,
270,,9118044/9114051,Armed Forces of the Philippinesmbai,,,,,,,Or Call:,,,
272,,9114052/9118040,Armed Forces of the Philippinesmbai,,,,,,,,,,
274,,9113613/9125287,Armed Forces of the Philippinesmbai,,,,,,,,,,
276,,9125097/9125482,Armed Forces of the Philippinesmbai,,Afp Mbai Appliance Loan Div,,Camp Aguinaldo,St,Camp Aguinaldo,,Metro Manila,,
278,,9125499/9118042,Armed Forces of the Philippinesmbai,,,,,,,Or Call:,,,
280,,9134357/9134363,Armed Forces of the Philippinesmbai,,,,,,,,,,
282,,9113712/9118043,Armed Forces of the Philippinesmbai,,,,,,,,,,
284,,9118829/9118041,Armed Forces of the Philippinesmbai,,,,,,,,,,
286,,9114057/9114053,Armed Forces of the Philippinesmbai,,,,,,,,,,
288,,9114060/9114055,Armed Forces of the Philippinesmbai,,,,,,,,,,
290,,9114054/9114059,Armed Forces of the Philippinesmbai,,,,,,,,,,
292,,9118049/9114058,Armed Forces of the Philippinesmbai,,,,,,,,,,
294,,8931565/8922168,Armed Forces of the Phils Hqtrphil Army Co Col Lagasca,,,1,Jusmag,Rd,,,Metro Manila,,
296,,8164746/8939244,Armed Forces of the Phils Hqtrphil Army Co Col Lagasca,,,,Consular Area,Rd,,,Metro Manila,,
298,,8871433/8923833,Armed Forces of the Phils Hqtrphil Army Co Col Lagasca,,,,B Valdez,St,AFPOVAI PHASE 5,,Metro Manila,,
300,,8923417,Armed Forces of the Phils Hqtrphil Army Co Col Lagasca,,,,Meritt,Rd,,,Metro Manila,,
301,,8445863/8922884,Armed Forces of the Phils Hqtrphil Army Co Col Lagasca,,,,Gen D Mc Arthur,Ave,,Makati City,Metro Manila,,
303,,8152920,Armed Forces of the Phils Hqtrphil Army Co Col Lagasca,,,,,,,Or Call:,,,
304,,3661640/9116017,"Association of Nursing Service Administrators of the Philippines, Inc.",,,1,Diamond,St,CARMEL 5 SUBDIVISION,QC,Metro Manila,,
306,,9116018/9116019,Armed Forces of the Phil  Communications and Electronics,,,,,,,Or Call:,,,
308,,9119010/9116003,Armed Forces of the Phil  Communications and Electronics,,,,Edsa,Ave,Camp Aguinaldo,,Metro Manila,,
310,,9113184/9116002,Armed Forces of the Phil  Communications and Electronics,,,,,,,Or Call:,,,
312,,9116001/9116020,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
314,,9116066/9116092,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
316,,9116094/9116014,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
318,,9116013/9116097,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
320,,9117884/9116012,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
322,,9116005/9117717,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
324,,9116007/9116004,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
326,,9116096/9116010,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
328,,9116095/9116091,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
330,,9116011/9116009,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
332,,9116090/9116006,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
334,,9118127/9116015,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
336,,9116093/9118202,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
338,,9116008/9116099,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
340,,9116098/9116016,Armed Forces of the Phil  Communications and Electronics,,,,,,,,,,
342,,9900367,"BARANGAY 105, ZONE 9, DISTRICT 2, CALOOCAN CITY",,,1,Galino,St,,,Metro Manila,,
343,,8802719,"Barangay Catmon, Malabon City",,,,Sanciangco,St,,Malabon City,Metro Manila,,
344,,8336813,Barangay Merville,,,,Daly,Rd,South Admiral Village,Paranaque City,Metro Manila,,
345,,8954374,Barangay San Antonio,,,8495,Caong,St,San Antonio Village,Makati City,Metro Manila,,
346,,8972626/8904366,Barangay San Antonio,,,,Mayapis,St,San Antonio Village,Makati City,Metro Manila,,
348,,8964265,Barangay San Antonio,,,,,,,Or Call:,,,
349,,8160935,Bases Conversion and Development Authority,,Bonifacio Technology Center,,31ST,St,Bonifacio Global City,Taguig City,Metro Manila,,
350,,8954195,Binay Jejomar Cabauatan Mr,,,8514,Caong,St,San Antonio Village,Makati City,Metro Manila,,
351,,9204486,Biodiversity Management Bureau,,Ninoy Aquino Parks & Wildlife,,Quezon,Ave,National Government Center,QC,Metro Manila,,
352,,9258946/9611559,Biodiversity Management Bureau,,,,Quezon,Ave,National Gov't Center,QC,Metro Manila,,
354,,9258945/9246031,Biodiversity Management Bureau,,,,,,,Or Call:,,,
356,,9258948/9246032,Biodiversity Management Bureau,,,,,,,,,,
358,,9258949/9258950,Biodiversity Management Bureau,,,,,,,,,,
360,,9246034/9258956,Biodiversity Management Bureau,,,,,,,,,,
362,,9246035/9258951,Biodiversity Management Bureau,,,,,,,,,,
364,,9258952/2944082,Biodiversity Management Bureau,,,,,,,,,,
366,,9258947/9258953,Biodiversity Management Bureau,,,,,,,,,,
368,,9258954/9246033,Biodiversity Management Bureau,,,,,,,,,,
370,,9263416,Bir Multipurpose Cooperative,,,,East,Ave,,,Metro Manila,,
371,,5180820/5674201,Bir Revenue Data Ctr,,BIR REVENUE REGION 6 BLDG 1,,Solana,St,,Manila City,Metro Manila,,
373,,5674282,Bir Revenue Data Ctr,,,,,,,Or Call:,,,
374,,6452235/6463801,BIR REVENUE DISTRICT OFC 35A,,Antonio Luz Arcade,,Sumulong,Hwy,,Marikina City,Metro Manila,,
376,,6451103/6451093,BIR REVENUE DISTRICT OFC 35A,,,,,,,Or Call:,,,
378,,9270996,"Bir Savings and Loan Association, Inc.",,Bir National Office,,Bir,Rd,,,Metro Manila,,
379,,9206994,Birrpregister of Deeds,,Qc Hall of Justice Building,,Kalayaan,Ave,,QC,Metro Manila,,
380,,8207064,Biruniwide Coastal Mall,,Gram Centre Building,,Dr a Santos,Ave,,Paranaque City,Metro Manila,,
381,,5515657,Bjmp Pasay City Jailfemale,,Pasay City Jail Building,,F B Harrison,St,,PC,Metro Manila,,
382,,3624966,Bo. Obrero Elementary School,,,,Viscaya,St,Obrero,Manila City,Metro Manila,,
383,,8909544,Board of Investments,,Dti Building,361,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
384,,8903056/8906060,Board of Investments,,Industry & Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
386,,8909308/8909325,Board of Investments,,,,,,,Or Call:,,,
388,,8901332/8903172,Board of Investments,,,,,,,,,,
390,,8909306/8909329,Board of Investments,,,,,,,,,,
392,,8909332/8909335,Board of Investments,,,,,,,,,,
394,,8903051/8909740,Board of Investments,,,,,,,,,,
396,,8909336,Board of Investments,,,,,,,,,,
397,,8908298/8902151,Board of Investments,,Board of Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
399,,8909326/8909307,Board of Investments,,,,,,,Or Call:,,,
401,,8953997/8968236,Board of Investments,,,,,,,,,,
403,,8968329/8968370,Board of Investments,,,,,,,,,,
405,,8968453/8968907,Board of Investments,,,,,,,,,,
407,,8969212/8969239,Board of Investments,,,,,,,,,,
409,,8969268/8969285,Board of Investments,,,,,,,,,,
411,,8967342/8969288,Board of Investments,,,,,,,,,,
413,,8969421/8999232,Board of Investments,,,,,,,,,,
415,,8998893/8972116,Board of Investments,,,,,,,,,,
417,,8998872/8972181,Board of Investments,,,,,,,,,,
419,,8972830/8973079,Board of Investments,,,,,,,,,,
421,,8973080/8969363,Board of Investments,,,,,,,,,,
423,,8965167/8964179,Board of Investments,,,,,,,,,,
425,,8958322/8953610,Board of Investments,,,,,,,,,,
427,,8953568/8953521,Board of Investments,,COUNTRY SPACE 1 BUILDING,,Sen Gil Puyat,Ave,Salcedo Village,,Metro Manila,,
429,,8953637/8953519,Board of Investments,,,,,,,Or Call:,,,
431,,8953518/8953640,Board of Investments,,,,,,,,,,
433,,8953641,Board of Investments,,,,,,,,,,
434,,8953649/8953656,Board of Investments,,Bsa Tower,108,Legazpi,St,Legaspi Village,Makati City,Metro Manila,,
436,,8953657/8953666,Board of Investments,,,,,,,Or Call:,,,
438,,8953701/8953977,Board of Investments,,,,,,,,,,
440,,8953978/8953980,Board of Investments,,,,,,,,,,
442,,8953983/8953984,Board of Investments,,,,,,,,,,
444,,8953989/8956615,Board of Investments,,,,,,,,,,
446,,8956617/8973081,Board of Investments,,,,,,,,,,
448,,8973082/8953622,Board of Investments,,,,,,,,,,
450,,8976682/8973086,Board of Investments,,,,,,,,,,
452,,8973083/8975334,Board of Investments,,,,,,,,,,
454,,8996205/8995688,Board of Investments,,,,,,,,,,
456,,8973087,Board of Investments,,,,,,,,,,
457,,7357668/7357663,Bu of Broadcast Services,,Malacanang Cmpd New Executive,,Pres J P Laurel,St,San Miguel Village,Manila City,Metro Manila,,
459,,6412815,Bu of Fire Protection,,,,F Manalo,St,Del Rosario Compound,,Metro Manila,,
460,,6411365,Bu of Fire Protection,,,,Magnolia,St,,Pat,Metro Manila,,
461,,8292340,Budget Office of City of Paranaque,,Municipality of Paranaque,,San Antonio,Ave,,Paranaque City,Metro Manila,,
462,,9288624/9288505,Bureau of Agricultural Research,,Rdmic Building,,Visayas,Ave,,QC,Metro Manila,,
464,,9200239/9200235,Bureau of Agricultural Research,,,,,,,Or Call:,,,
466,,9200227/9200215,Bureau of Agricultural Research,,,,,,,,,,
468,,9200219,Bureau of Agricultural Research,,,,,,,,,,
469,,9281922,Bureau of Animal Industry,,,,Visayas,Ave,,QC,Metro Manila,,
470,,7348054/7348053,Bureau of Communications Services,,Phil Cancer Society Building,310,San Rafael,St,,Manila City,Metro Manila,,
472,,7342125/7342120,Bureau of Communications Services,,,,,,,Or Call:,,,
474,,7348042/7366586,Bureau of Communications Services,,,,,,,,,,
476,,7723877,Bureau of Corrections,,Supply Division Office,,Nbp Reservation,St,New Bilibid Prison Reservt'n,,Metro Manila,,
477,,8427262,Bureau of Corrections,,Administration Building,,Nbp Reservation,St,New Bilibid Prison Reservt'n,Muntinlupa City,Metro Manila,,
478,,7722719,Bureau of Corrections,,Building Construction Division,,Nbp Reservation,St,New Bilibid Prison Reservt'n,Muntinlupa City,Metro Manila,,
479,,8500992,Bureau of Corrections,,,,Nbp Reservation,St,New Bilibid Prison Reservt'n,Muntinlupa City,Metro Manila,,
480,,7722355,Bureau of Corrections,,,,Magdaong,Drv,New Bilibid Prison Reservt'n,Muntinlupa City,Metro Manila,,
481,,6590832/6590833,Bureau of Corrections,,Bureau of Correction,,Nbp Reservation,St,New Bilibid Prison Reservt'n,Muntinlupa City,Metro Manila,,
483,,4782857/7722718,Bureau of Corrections,,,,,,,Or Call:,,,
485,,4782864/6591739,Bureau of Corrections,,,,,,,,,,
487,,6591928,Bureau of Corrections,,,,,,,,,,
488,,2452775,Bureau of Customs,,Task Force Bldg,,Marcos,Rd,North Harbor,Manila City,Metro Manila,,
489,,2453021,Bureau of Customs,,,,RADIAL 10,Rd,,Manila City,Metro Manila,,
490,,8323035,Bureau of Customs,,Customs Building,,Naia,Rd,,PC,Metro Manila,,
491,,8322931,Bureau of Customs,,,,Ninoy Aquino,Ave,,Paranaque City,Metro Manila,,
492,,2452771/2452793,Bureau of Customs,,Bureau of Custom Bldg,,Marcos,Rd,North Harbor,Manila City,Metro Manila,,
494,,8315020/8325083,Bureau of Customs,,,,,,,Or Call:,,,
496,,5274450,Bureau of Customs,,,,16TH,St,,,Metro Manila,,
